Bond_Sale_Date,Bond_ID,Sale_Amount,Bond_Maturity_Date,Bond_Type,Interest_Rate
2024-08-15 23:16:22.640437,BOND_143,27124.99,2024-11-15 23:16:22.683105,Corporate Bond,4.71
2023-11-01 23:16:22.640437,BOND_135,23173.93,2024-09-10 23:16:22.683105,Government Bond,1.01
2024-01-29 23:16:22.640437,BOND_79,41488.41,2025-06-06 23:16:22.683105,Government Bond,3.32
2024-06-19 23:16:22.640437,BOND_92,17066.59,2024-07-20 23:16:22.683105,Corporate Bond,3.27
2024-04-25 23:16:22.640437,BOND_60,22618.45,2024-08-13 23:16:22.683105,Corporate Bond,4.66
2024-02-13 23:16:22.640437,BOND_67,22357.57,2025-06-30 23:16:22.683105,Corporate Bond,2.32
2023-11-13 23:16:22.640437,BOND_106,26098.61,2024-06-22 23:16:22.683105,Government Bond,3.33
2024-09-27 23:16:22.640437,BOND_148,11761.84,2024-08-02 23:16:22.683105,Government Bond,4.24
2024-01-18 23:16:22.640437,BOND_104,19555.39,2025-02-28 23:16:22.683105,Corporate Bond,2.04
2024-01-27 23:16:22.640437,BOND_178,10842.18,2024-12-25 23:16:22.683105,Corporate Bond,2.6
2024-05-22 23:16:22.640437,BOND_171,49411.71,2025-01-15 23:16:22.683105,Government Bond,2.2
2024-05-17 23:16:22.640437,BOND_48,37022.61,2023-12-05 23:16:22.683105,Government Bond,4.89
2024-06-08 23:16:22.640437,BOND_17,49221.8,2024-07-30 23:16:22.683105,Government Bond,4.09
2024-04-06 23:16:22.640437,BOND_124,41046.77,2024-11-11 23:16:22.683105,Corporate Bond,2.42
2024-07-25 23:16:22.640437,BOND_145,22733.4,2024-09-04 23:16:22.683105,Government Bond,1.69
2024-09-02 23:16:22.640437,BOND_3,46100.47,2025-02-22 23:16:22.683105,Government Bond,1.05
2024-04-18 23:16:22.640437,BOND_127,23537.98,2024-10-11 23:16:22.683105,Government Bond,3.08
2024-04-23 23:16:22.640437,BOND_172,39639.32,2024-04-26 23:16:22.683105,Government Bond,3.69
2023-10-07 23:16:22.640437,BOND_133,48815.74,2024-05-18 23:16:22.683105,Corporate Bond,1.68
2023-12-13 23:16:22.640437,BOND_77,21569.38,2025-06-02 23:16:22.683105,Government Bond,3.99
2024-01-19 23:16:22.640437,BOND_168,28793.79,2024-11-04 23:16:22.683105,Corporate Bond,1.37
2023-11-05 23:16:22.640437,BOND_190,23738.43,2024-04-29 23:16:22.683105,Government Bond,3.09
2024-03-14 23:16:22.640437,BOND_42,32431.36,2024-12-03 23:16:22.683105,Government Bond,1.78
2024-07-24 23:16:22.640437,BOND_88,12416.65,2025-05-02 23:16:22.683105,Corporate Bond,1.6
2024-07-04 23:16:22.640437,BOND_194,44331.46,2025-05-17 23:16:22.683105,Government Bond,1.05
2024-01-25 23:16:22.640437,BOND_3,42418.36,2025-07-12 23:16:22.683105,Corporate Bond,2.9
2023-10-08 23:16:22.640437,BOND_137,34232.78,2024-05-06 23:16:22.683105,Corporate Bond,4.36
2024-07-05 23:16:22.640437,BOND_4,10208.36,2024-07-18 23:16:22.683105,Corporate Bond,2.51
2024-05-14 23:16:22.640437,BOND_90,47802.62,2024-12-01 23:16:22.683105,Government Bond,4.12
2024-07-22 23:16:22.640437,BOND_62,42907.8,2024-09-12 23:16:22.683105,Government Bond,2.66
2024-01-10 23:16:22.640437,BOND_196,15952.22,2024-03-09 23:16:22.683105,Corporate Bond,1.23
2024-02-12 23:16:22.640437,BOND_193,29680.65,2024-10-12 23:16:22.683105,Government Bond,3.48
2024-06-22 23:16:22.640437,BOND_50,27415.19,2024-04-08 23:16:22.683105,Corporate Bond,3.24
2024-07-24 23:16:22.640437,BOND_63,12438.57,2024-05-13 23:16:22.683105,Government Bond,2.18
2023-10-09 23:16:22.640437,BOND_48,38517.5,2025-02-09 23:16:22.683105,Government Bond,1.23
2024-04-13 23:16:22.640437,BOND_23,32508.32,2024-04-11 23:16:22.683105,Government Bond,3.37
2024-04-07 23:16:22.640437,BOND_183,14520.45,2024-09-20 23:16:22.683105,Government Bond,2.49
2024-01-11 23:16:22.640437,BOND_16,12673.85,2024-10-06 23:16:22.683105,Government Bond,2.24
2024-04-15 23:16:22.640437,BOND_39,21490.53,2025-02-18 23:16:22.683105,Government Bond,3.4
2024-06-23 23:16:22.640437,BOND_138,28752.65,2024-07-04 23:16:22.683105,Corporate Bond,4.05
2024-08-03 23:16:22.640437,BOND_168,15097.72,2025-08-28 23:16:22.683105,Corporate Bond,4.05
2024-02-06 23:16:22.640437,BOND_187,38880.82,2024-05-13 23:16:22.683105,Corporate Bond,4.23
2024-06-22 23:16:22.640437,BOND_80,36624.72,2024-08-15 23:16:22.683105,Corporate Bond,4.82
2024-02-12 23:16:22.640437,BOND_161,49854.03,2023-11-28 23:16:22.683105,Government Bond,3.61
2024-04-15 23:16:22.640437,BOND_180,33386.05,2024-11-08 23:16:22.683105,Corporate Bond,2.08
2024-09-14 23:16:22.640437,BOND_130,16739.84,2025-07-23 23:16:22.683105,Government Bond,2.55
2024-07-08 23:16:22.640437,BOND_154,17616.26,2024-07-07 23:16:22.683105,Government Bond,1.91
2023-12-05 23:16:22.640437,BOND_130,47130.81,2024-06-24 23:16:22.683105,Corporate Bond,4.24
2024-06-19 23:16:22.640437,BOND_95,13509.51,2024-08-24 23:16:22.683105,Government Bond,2.31
2024-03-13 23:16:22.640437,BOND_53,10333.8,2024-05-02 23:16:22.683105,Corporate Bond,2.24
2024-03-02 23:16:22.640437,BOND_186,16535.27,2024-07-16 23:16:22.683105,Government Bond,3.99
2024-03-11 23:16:22.640437,BOND_79,19512.42,2024-12-17 23:16:22.683105,Corporate Bond,2.73
2024-07-21 23:16:22.640437,BOND_191,27615.13,2024-10-19 23:16:22.683105,Corporate Bond,1.96
2023-10-25 23:16:22.640437,BOND_39,23303.24,2025-02-25 23:16:22.683105,Corporate Bond,4.19
2024-08-29 23:16:22.640437,BOND_105,33576.25,2024-11-25 23:16:22.683105,Corporate Bond,4.03
2024-07-13 23:16:22.640437,BOND_1,10512.13,2024-03-02 23:16:22.683105,Corporate Bond,1.68
2023-10-20 23:16:22.640437,BOND_153,11672.19,2025-02-19 23:16:22.683105,Corporate Bond,3.84
2024-04-08 23:16:22.640437,BOND_170,37354.4,2025-02-03 23:16:22.683105,Corporate Bond,3.07
2024-01-27 23:16:22.640437,BOND_23,40389.01,2025-05-26 23:16:22.683105,Corporate Bond,2.31
2024-09-16 23:16:22.640437,BOND_65,41750.58,2025-02-11 23:16:22.683105,Corporate Bond,4.49
2024-05-14 23:16:22.640437,BOND_20,19655.69,2024-11-29 23:16:22.683105,Government Bond,4.71
2024-07-11 23:16:22.640437,BOND_34,25763.8,2024-05-27 23:16:22.683105,Corporate Bond,3.24
2024-01-10 23:16:22.640437,BOND_186,17806.52,2024-11-28 23:16:22.683105,Corporate Bond,3.49
2024-06-21 23:16:22.640437,BOND_42,41850.83,2025-04-11 23:16:22.683105,Government Bond,2.15
2024-03-06 23:16:22.640437,BOND_108,40152.86,2024-12-04 23:16:22.683105,Government Bond,4.14
2024-03-20 23:16:22.640437,BOND_95,39686.77,2024-07-21 23:16:22.683105,Government Bond,1.58
2024-03-28 23:16:22.640437,BOND_76,44418.94,2025-08-08 23:16:22.683105,Government Bond,3.91
2024-03-10 23:16:22.640437,BOND_38,20672.92,2024-06-13 23:16:22.683105,Corporate Bond,4.61
2023-11-10 23:16:22.640437,BOND_183,17855.41,2024-08-05 23:16:22.683105,Government Bond,3.53
2024-07-25 23:16:22.640437,BOND_26,22018.23,2024-05-18 23:16:22.683105,Corporate Bond,4.61
2024-07-16 23:16:22.640437,BOND_8,42764.3,2024-10-16 23:16:22.683105,Corporate Bond,3.39
2023-12-21 23:16:22.640437,BOND_140,39314.28,2024-08-21 23:16:22.683105,Government Bond,4.02
2024-05-16 23:16:22.640437,BOND_185,22929.03,2024-02-26 23:16:22.683105,Corporate Bond,1.96
