Transfer_Date,Transaction_ID,Counterparty_Bank,Transfer_Amount,Transfer_Currency,Transfer_Type,Transfer_Purpose
2024-06-02 23:16:44.529975,TXN_525,Bank A,40189.92,EUR,Inbound,Liquidity Management
2024-06-10 23:16:44.529975,TXN_486,Bank A,42353.85,EUR,Inbound,Liquidity Management
2024-08-28 23:16:44.529975,TXN_556,Bank B,36197.97,EUR,Inbound,Settlement
2024-01-15 23:16:44.529975,TXN_846,Bank C,41887.55,EUR,Outbound,Liquidity Management
2024-04-12 23:16:44.529975,TXN_838,Bank B,28152.32,GBP,Outbound,Settlement
2024-05-17 23:16:44.529975,TXN_422,Bank A,26803.81,EUR,Outbound,Liquidity Management
2024-07-14 23:16:44.529975,TXN_258,Bank B,38319.12,EUR,Outbound,Settlement
2024-06-18 23:16:44.529975,TXN_990,Bank A,37527.47,USD,Outbound,Liquidity Management
2024-08-10 23:16:44.529975,TXN_46,Bank C,33165.05,USD,Inbound,Liquidity Management
2023-11-14 23:16:44.529975,TXN_987,Bank C,24460.27,EUR,Inbound,Liquidity Management
2024-03-27 23:16:44.529975,TXN_966,Bank B,15429.91,USD,Outbound,Liquidity Management
2024-01-29 23:16:44.529975,TXN_967,Bank B,49942.94,USD,Outbound,Liquidity Management
2024-02-15 23:16:44.529975,TXN_817,Bank B,49180.28,GBP,Outbound,Settlement
2023-12-07 23:16:44.529975,TXN_774,Bank C,30437.7,EUR,Outbound,Settlement
2024-08-24 23:16:44.529975,TXN_40,Bank A,23786.01,USD,Inbound,Liquidity Management
2024-08-19 23:16:44.529975,TXN_559,Bank C,17364.52,EUR,Inbound,Settlement
2024-03-20 23:16:44.529975,TXN_489,Bank C,14089.7,EUR,Inbound,Liquidity Management
2024-07-03 23:16:44.529975,TXN_55,Bank A,43789.78,USD,Outbound,Settlement
2023-11-11 23:16:44.529975,TXN_35,Bank A,22859.1,EUR,Outbound,Settlement
2024-06-08 23:16:44.529975,TXN_855,Bank C,19727.91,USD,Inbound,Settlement
2024-07-08 23:16:44.529975,TXN_217,Bank C,36419.2,GBP,Outbound,Liquidity Management
2024-09-27 23:16:44.529975,TXN_836,Bank A,32039.91,GBP,Outbound,Settlement
2023-11-17 23:16:44.529975,TXN_889,Bank B,44371.8,GBP,Outbound,Settlement
2024-06-16 23:16:44.529975,TXN_981,Bank A,23978.77,USD,Outbound,Settlement
2023-12-13 23:16:44.529975,TXN_544,Bank A,25662.92,EUR,Outbound,Liquidity Management
2024-01-23 23:16:44.529975,TXN_950,Bank C,48569.04,USD,Outbound,Settlement
2023-11-07 23:16:44.529975,TXN_347,Bank A,44685.45,USD,Outbound,Liquidity Management
2024-03-19 23:16:44.529975,TXN_953,Bank C,44162.18,USD,Outbound,Settlement
2024-09-24 23:16:44.529975,TXN_67,Bank C,39619.97,EUR,Outbound,Liquidity Management
2024-01-05 23:16:44.529975,TXN_414,Bank C,14263.17,USD,Outbound,Liquidity Management
2024-08-20 23:16:44.529975,TXN_59,Bank A,30779.23,GBP,Outbound,Settlement
2024-04-28 23:16:44.529975,TXN_702,Bank C,39232.56,GBP,Inbound,Settlement
2024-08-09 23:16:44.529975,TXN_7,Bank C,28151.96,GBP,Outbound,Settlement
2024-07-16 23:16:44.529975,TXN_123,Bank B,15011.59,USD,Outbound,Settlement
2024-06-06 23:16:44.529975,TXN_40,Bank B,30774.87,EUR,Inbound,Settlement
2024-04-23 23:16:44.529975,TXN_897,Bank A,12878.05,GBP,Outbound,Settlement
2024-10-04 23:16:44.529975,TXN_598,Bank A,28971.8,USD,Outbound,Liquidity Management
2024-04-13 23:16:44.529975,TXN_14,Bank B,41362.08,GBP,Inbound,Liquidity Management
2023-10-12 23:16:44.529975,TXN_679,Bank C,21401.79,USD,Inbound,Settlement
2024-06-28 23:16:44.529975,TXN_578,Bank C,45396.65,GBP,Outbound,Settlement
2024-03-17 23:16:44.529975,TXN_309,Bank A,46757.54,GBP,Inbound,Liquidity Management
2024-02-19 23:16:44.529975,TXN_940,Bank A,42264.75,GBP,Inbound,Settlement
2023-11-14 23:16:44.529975,TXN_45,Bank B,41938.94,GBP,Inbound,Settlement
2024-06-09 23:16:44.529975,TXN_803,Bank A,33283.54,EUR,Outbound,Settlement
2024-03-11 23:16:44.529975,TXN_450,Bank C,27334.52,EUR,Outbound,Liquidity Management
2024-01-25 23:16:44.529975,TXN_846,Bank A,20586.96,GBP,Outbound,Settlement
2024-10-01 23:16:44.529975,TXN_20,Bank B,40952.43,GBP,Outbound,Liquidity Management
2024-04-03 23:16:44.529975,TXN_781,Bank C,13533.01,USD,Inbound,Liquidity Management
2024-05-18 23:16:44.529975,TXN_337,Bank A,29596.68,GBP,Outbound,Liquidity Management
2023-10-11 23:16:44.529975,TXN_792,Bank A,13622.11,EUR,Inbound,Settlement
2023-12-23 23:16:44.529975,TXN_62,Bank C,29874.75,USD,Inbound,Settlement
2024-05-25 23:16:44.529975,TXN_899,Bank A,32870.09,USD,Inbound,Liquidity Management
2024-05-13 23:16:44.529975,TXN_657,Bank A,31241.36,USD,Inbound,Liquidity Management
2024-08-23 23:16:44.529975,TXN_689,Bank A,37414.37,USD,Outbound,Liquidity Management
2024-03-06 23:16:44.529975,TXN_877,Bank C,28775.89,GBP,Inbound,Liquidity Management
2024-03-26 23:16:44.529975,TXN_544,Bank B,36455.06,USD,Inbound,Settlement
2023-11-30 23:16:44.529975,TXN_780,Bank A,23025.32,GBP,Outbound,Settlement
2024-01-11 23:16:44.529975,TXN_822,Bank C,31831.4,USD,Outbound,Settlement
2023-12-27 23:16:44.529975,TXN_323,Bank C,33548.91,EUR,Inbound,Liquidity Management
2023-10-25 23:16:44.529975,TXN_706,Bank A,28081.9,EUR,Outbound,Liquidity Management
2024-05-01 23:16:44.529975,TXN_530,Bank C,44410.45,GBP,Outbound,Settlement
2023-11-21 23:16:44.529975,TXN_328,Bank B,16636.98,GBP,Outbound,Liquidity Management
2023-11-14 23:16:44.529975,TXN_230,Bank C,37668.77,EUR,Inbound,Settlement
2024-07-24 23:16:44.529975,TXN_517,Bank C,45034.4,GBP,Inbound,Settlement
