Loan_ID,Customer_ID,Loan_Date,Loan_Amount,Loan_Type,Loan_Term,Interest_Rate,Interest_Inflow
1,CUST_49642,2024-08-11 23:15:53.443976,21654.3,Auto,24,0.08,3464.688
2,CUST_43883,2024-04-04 23:15:53.443976,25862.25,Personal,36,0.08,6206.9400000000005
3,CUST_7937,2023-11-23 23:15:53.443976,46793.21,Auto,48,0.1,18717.284
4,CUST_30035,2024-01-25 23:15:53.443976,24625.98,Personal,12,0.06,1477.5588
5,CUST_23127,2023-11-06 23:15:53.443976,11231.78,Personal,24,0.07,1572.4492000000002
6,CUST_12331,2023-10-08 23:15:53.443976,32771.41,Home,24,0.06,3932.5692000000004
7,CUST_36203,2024-04-11 23:15:53.443976,30369.71,Home,12,0.05,1518.4855
8,CUST_35936,2024-03-26 23:15:53.443976,21335.6,Personal,24,0.07,2986.984
9,CUST_39428,2024-02-13 23:15:53.443976,23702.45,Personal,24,0.07,3318.3430000000003
10,CUST_12470,2023-12-16 23:15:53.443976,42917.98,Auto,48,0.1,17167.192000000003
11,CUST_22888,2023-12-29 23:15:53.443976,18016.11,Auto,48,0.1,7206.444
12,CUST_44092,2024-07-06 23:15:53.443976,22171.54,Home,48,0.08,7094.8928000000005
13,CUST_25926,2024-07-30 23:15:53.443976,27224.16,Auto,12,0.07,1905.6912000000002
14,CUST_49941,2024-09-07 23:15:53.443976,45725.13,Home,36,0.07,9602.277300000002
15,CUST_45707,2024-10-01 23:15:53.443976,24840.33,Auto,36,0.09,6706.8891
16,CUST_49035,2024-02-09 23:15:53.443976,21181.66,Personal,12,0.06,1270.8996
17,CUST_16832,2024-01-08 23:15:53.443976,23666.11,Auto,48,0.1,9466.444000000001
18,CUST_5450,2023-10-28 23:15:53.443976,9499.9,Auto,48,0.1,3799.96
19,CUST_13631,2024-01-10 23:15:53.443976,13590.07,Personal,48,0.09,4892.4252
20,CUST_3477,2024-08-28 23:15:53.443976,21060.92,Home,36,0.07,4422.7932
21,CUST_23454,2024-01-13 23:15:53.443976,43182.9,Personal,48,0.09,15545.844
22,CUST_5077,2024-04-07 23:15:53.443976,36731.14,Home,24,0.06,4407.7368
23,CUST_29284,2024-01-06 23:15:53.443976,17553.68,Auto,12,0.07,1228.7576000000001
