Expense_Date,Expense_Type,Expense_Amount,Payment_Method,Cost_Center/Department
2024-09-13 23:16:33.972190,Maintenance,12592.51,Direct Debit,IT
2023-11-22 23:16:33.972190,Salaries,17641.35,Credit Card,Marketing
2024-01-20 23:16:33.972190,Maintenance,13256.21,Credit Card,Finance
2024-04-10 23:16:33.972190,Maintenance,5049.55,Check,Operations
2024-09-30 23:16:33.972190,Salaries,16599.39,Credit Card,Marketing
2024-02-29 23:16:33.972190,Salaries,19961.98,Check,Marketing
2024-03-05 23:16:33.972190,Salaries,4647.99,Check,IT
2023-10-28 23:16:33.972190,Utilities,9227.5,Credit Card,Marketing
2023-12-17 23:16:33.972190,Maintenance,17254.43,Direct Debit,Marketing
2024-04-15 23:16:33.972190,Technology,1637.33,Check,HR
2024-01-22 23:16:33.972190,Salaries,3120.66,Credit Card,Operations
2024-09-03 23:16:33.972190,Utilities,7058.9,Credit Card,HR
2024-09-13 23:16:33.972190,Salaries,2935.99,Credit Card,Marketing
2024-07-03 23:16:33.972190,Utilities,12893.71,Credit Card,Marketing
2023-10-10 23:16:33.972190,Technology,9615.31,Credit Card,Operations
2024-01-06 23:16:33.972190,Utilities,18312.45,Direct Debit,Finance
2024-06-08 23:16:33.972190,Maintenance,6371.35,Direct Debit,Marketing
2024-08-29 23:16:33.972190,Rent,7561.89,Direct Debit,Operations
2023-12-06 23:16:33.972190,Maintenance,17636.49,Credit Card,Marketing
2024-05-05 23:16:33.972190,Technology,13267.27,Credit Card,IT
2024-09-09 23:16:33.972190,Utilities,15616.33,Direct Debit,IT
2024-03-08 23:16:33.972190,Technology,7550.68,Check,Marketing
2023-12-15 23:16:33.972190,Technology,6108.91,Credit Card,HR
2024-09-03 23:16:33.972190,Technology,18471.78,Credit Card,IT
2024-07-16 23:16:33.972190,Maintenance,13541.19,Check,Marketing
2023-10-30 23:16:33.972190,Salaries,8749.83,Credit Card,IT
2024-02-09 23:16:33.972190,Utilities,14395.84,Direct Debit,HR
2024-03-06 23:16:33.972190,Technology,3950.49,Credit Card,Operations
2023-12-21 23:16:33.972190,Salaries,10710.17,Credit Card,IT
2024-08-15 23:16:33.972190,Salaries,16543.08,Direct Debit,Operations
2024-08-16 23:16:33.972190,Salaries,3309.74,Check,Marketing
2024-05-05 23:16:33.972190,Salaries,11566.95,Direct Debit,Finance
2024-08-05 23:16:33.972190,Salaries,6960.75,Credit Card,Finance
2024-02-09 23:16:33.972190,Technology,12762.37,Check,Marketing
2024-06-18 23:16:33.972190,Technology,17811.8,Check,Finance
2024-01-28 23:16:33.972190,Salaries,4589.95,Direct Debit,Finance
2024-04-14 23:16:33.972190,Salaries,8304.18,Credit Card,Finance
2024-08-15 23:16:33.972190,Salaries,5294.29,Direct Debit,HR
2023-11-21 23:16:33.972190,Technology,11462.72,Direct Debit,HR
2024-08-07 23:16:33.972190,Technology,9669.73,Direct Debit,HR
2024-04-09 23:16:33.972190,Utilities,15850.72,Check,Marketing
2024-04-04 23:16:33.972190,Rent,3514.01,Check,Operations
2024-01-17 23:16:33.972190,Maintenance,17127.84,Direct Debit,Operations
2024-05-10 23:16:33.972190,Salaries,3344.27,Check,Operations
2024-04-01 23:16:33.972190,Technology,14936.6,Direct Debit,HR
2024-05-05 23:16:33.972190,Maintenance,6509.89,Credit Card,Marketing
2023-12-24 23:16:33.972190,Technology,1434.44,Credit Card,IT
2024-10-03 23:16:33.972190,Utilities,2488.18,Credit Card,IT
2024-07-14 23:16:33.972190,Utilities,4064.76,Direct Debit,Finance
2024-05-13 23:16:33.972190,Rent,10359.74,Check,IT
2024-08-23 23:16:33.972190,Utilities,10616.77,Credit Card,Marketing
2024-08-04 23:16:33.972190,Salaries,15514.45,Credit Card,Finance
2024-06-27 23:16:33.972190,Maintenance,17343.54,Direct Debit,Marketing
2024-06-05 23:16:33.972190,Salaries,10483.78,Credit Card,Finance
2024-07-18 23:16:33.972190,Salaries,11640.22,Credit Card,Finance
2024-02-16 23:16:33.972190,Utilities,17048.92,Direct Debit,HR
2024-08-11 23:16:33.972190,Maintenance,10852.61,Direct Debit,HR
2024-05-09 23:16:33.972190,Technology,12451.92,Check,Finance
2024-05-29 23:16:33.972190,Salaries,9032.96,Direct Debit,Marketing
2024-03-17 23:16:33.972190,Rent,8109.77,Direct Debit,Marketing
2024-07-17 23:16:33.972190,Salaries,10831.49,Direct Debit,Marketing
2023-11-17 23:16:33.972190,Technology,3891.45,Check,HR
2024-04-26 23:16:33.972190,Salaries,5885.7,Direct Debit,Operations
2024-09-04 23:16:33.972190,Utilities,6202.49,Direct Debit,Marketing
2024-01-01 23:16:33.972190,Technology,8308.96,Credit Card,HR
2024-04-06 23:16:33.972190,Salaries,14039.86,Direct Debit,Operations
2024-05-23 23:16:33.972190,Utilities,13536.49,Check,IT
2024-07-06 23:16:33.972190,Utilities,8270.84,Check,Finance
2024-08-14 23:16:33.972190,Technology,18713.1,Credit Card,Operations
2024-05-21 23:16:33.972190,Rent,12088.78,Credit Card,IT
2024-06-13 23:16:33.972190,Utilities,12464.86,Check,Marketing
2023-10-24 23:16:33.972190,Salaries,7212.87,Credit Card,HR
2024-09-28 23:16:33.972190,Maintenance,8321.64,Credit Card,Marketing
2024-06-09 23:16:33.972190,Technology,19714.86,Check,Operations
2024-02-17 23:16:33.972190,Salaries,1634.39,Credit Card,Operations
2024-01-14 23:16:33.972190,Maintenance,10011.92,Direct Debit,Finance
2023-11-12 23:16:33.972190,Maintenance,13367.67,Check,IT
2024-05-22 23:16:33.972190,Technology,13039.02,Credit Card,Finance
2023-10-27 23:16:33.972190,Utilities,12558.66,Direct Debit,Marketing
2024-04-09 23:16:33.972190,Utilities,11079.48,Credit Card,Operations
2024-07-29 23:16:33.972190,Utilities,3491.81,Check,Finance
2024-05-25 23:16:33.972190,Maintenance,6049.74,Check,Marketing
2024-09-06 23:16:33.972190,Technology,8339.67,Credit Card,Finance
2024-08-12 23:16:33.972190,Rent,5184.94,Check,Marketing
2024-06-03 23:16:33.972190,Salaries,5245.15,Check,Finance
2024-02-02 23:16:33.972190,Maintenance,17586.94,Check,Marketing
2024-07-30 23:16:33.972190,Maintenance,11105.62,Check,IT
2023-12-08 23:16:33.972190,Salaries,9802.67,Check,HR
2024-08-08 23:16:33.972190,Technology,5174.99,Direct Debit,Marketing
2024-05-01 23:16:33.972190,Salaries,13026.17,Direct Debit,IT
2024-06-17 23:16:33.972190,Utilities,4683.73,Direct Debit,HR
2024-09-27 23:16:33.972190,Maintenance,1243.78,Check,HR
2023-11-10 23:16:33.972190,Rent,4411.32,Direct Debit,Marketing
2023-10-08 23:16:33.972190,Maintenance,17285.85,Direct Debit,IT
2024-07-06 23:16:33.972190,Salaries,7502.16,Direct Debit,IT
2024-03-31 23:16:33.972190,Rent,3027.26,Direct Debit,HR
2023-12-19 23:16:33.972190,Technology,18338.74,Credit Card,IT
2024-05-06 23:16:33.972190,Utilities,4620.37,Direct Debit,Operations
2023-12-09 23:16:33.972190,Salaries,3777.52,Credit Card,Operations
2024-09-04 23:16:33.972190,Technology,13859.24,Credit Card,Operations
2023-11-20 23:16:33.972190,Utilities,18111.15,Check,IT
2024-01-02 23:16:33.972190,Technology,18752.04,Direct Debit,Marketing
2024-09-28 23:16:33.972190,Salaries,8175.15,Direct Debit,Operations
2024-05-17 23:16:33.972190,Technology,7038.54,Credit Card,IT
2024-05-15 23:16:33.972190,Utilities,15874.23,Direct Debit,Marketing
2024-08-30 23:16:33.972190,Technology,4181.68,Direct Debit,Operations
2024-08-02 23:16:33.972190,Maintenance,8042.2,Direct Debit,HR
2024-09-24 23:16:33.972190,Salaries,15884.91,Check,Operations
2024-01-28 23:16:33.972190,Technology,14770.18,Direct Debit,Operations
2024-04-03 23:16:33.972190,Utilities,13465.52,Credit Card,Finance
2024-02-01 23:16:33.972190,Salaries,14835.74,Check,IT
2024-04-28 23:16:33.972190,Technology,2027.6,Direct Debit,HR
2024-07-09 23:16:33.972190,Salaries,6692.95,Direct Debit,HR
2023-12-23 23:16:33.972190,Technology,11857.36,Direct Debit,Operations
2024-06-23 23:16:33.972190,Salaries,5720.38,Direct Debit,Marketing
2024-04-05 23:16:33.972190,Rent,12063.93,Check,Finance
2024-04-20 23:16:33.972190,Technology,11268.09,Credit Card,HR
2024-05-21 23:16:33.972190,Technology,12522.47,Check,Marketing
2024-01-23 23:16:33.972190,Maintenance,17247.91,Direct Debit,Operations
2023-10-19 23:16:33.972190,Maintenance,4395.02,Check,Marketing
2023-11-26 23:16:33.972190,Utilities,10432.8,Check,HR
2023-11-23 23:16:33.972190,Utilities,7427.92,Direct Debit,Marketing
2024-08-22 23:16:33.972190,Salaries,17401.69,Direct Debit,IT
2024-07-01 23:16:33.972190,Technology,5369.22,Credit Card,Marketing
2024-01-11 23:16:33.972190,Utilities,10352.49,Direct Debit,HR
2024-05-13 23:16:33.972190,Maintenance,8958.23,Check,HR
2024-01-18 23:16:33.972190,Rent,7862.09,Direct Debit,Finance
2024-04-14 23:16:33.972190,Maintenance,19121.23,Check,IT
2024-07-23 23:16:33.972190,Rent,16270.89,Credit Card,Marketing
2023-12-25 23:16:33.972190,Maintenance,5439.17,Check,HR
2024-02-03 23:16:33.972190,Maintenance,8085.93,Check,Operations
2024-03-27 23:16:33.972190,Technology,18280.33,Credit Card,Marketing
2023-12-19 23:16:33.972190,Salaries,5162.1,Direct Debit,Operations
2024-08-24 23:16:33.972190,Rent,10387.43,Check,Operations
2024-05-13 23:16:33.972190,Utilities,18276.14,Credit Card,Marketing
2024-05-25 23:16:33.972190,Rent,4715.59,Credit Card,Marketing
2023-12-25 23:16:33.972190,Maintenance,5566.21,Credit Card,Operations
2024-07-19 23:16:33.972190,Technology,16724.2,Credit Card,HR
2024-03-18 23:16:33.972190,Salaries,15307.26,Check,Marketing
2024-01-19 23:16:33.972190,Salaries,4330.04,Credit Card,Finance
2024-06-03 23:16:33.972190,Technology,5231.69,Direct Debit,HR
2023-12-16 23:16:33.972190,Rent,19884.67,Direct Debit,HR
2024-06-11 23:16:33.972190,Utilities,8890.63,Credit Card,Finance
2024-02-19 23:16:33.972190,Utilities,13595.45,Credit Card,Finance
2024-07-10 23:16:33.972190,Rent,13943.01,Check,Marketing
2024-01-12 23:16:33.972190,Technology,12521.24,Direct Debit,Finance
2024-01-12 23:16:33.972190,Maintenance,10778.55,Check,Finance
2024-04-15 23:16:33.972190,Salaries,15827.34,Direct Debit,Marketing
2024-03-06 23:16:33.972190,Maintenance,14249.77,Check,Finance
2024-05-13 23:16:33.972190,Rent,2719.69,Credit Card,Marketing
2024-09-28 23:16:33.972190,Utilities,3323.28,Direct Debit,IT
2024-08-14 23:16:33.972190,Salaries,16366.33,Direct Debit,IT
2024-04-15 23:16:33.972190,Maintenance,3528.25,Check,Finance
2024-05-12 23:16:33.972190,Salaries,4173.18,Check,Marketing
2024-07-07 23:16:33.972190,Rent,19752.76,Credit Card,Marketing
2024-01-09 23:16:33.972190,Utilities,8698.29,Credit Card,Finance
2024-05-22 23:16:33.972190,Utilities,6759.73,Credit Card,Operations
2024-01-04 23:16:33.972190,Utilities,10831.21,Direct Debit,Finance
2024-09-08 23:16:33.972190,Technology,4212.59,Check,Finance
2024-07-31 23:16:33.972190,Utilities,3274.56,Direct Debit,IT
2024-02-10 23:16:33.972190,Rent,6906.72,Credit Card,IT
2024-08-07 23:16:33.972190,Maintenance,5326.76,Check,Finance
